target_island,method,removal_fraction,corr_eval,mse_adj,n_train_remaining,seed
2,tracin,0.0,0.17074674367904663,1.3354367017745972,5405,42
2,tracin,0.1,0.16262555122375488,1.275757908821106,4865,42
2,tracin,0.2,0.16931773722171783,1.2754665613174438,4324,42
2,tracin,0.3,0.15782339870929718,1.235377550125122,3784,42
2,tracin,0.4,0.15754735469818115,1.2280458211898804,3243,42
2,tracin,0.5,0.158600315451622,1.2254852056503296,2703,42
2,random,0.0,0.17149698734283447,1.3430757522583008,5405,42
2,random,0.1,0.1403992623090744,1.3852183818817139,4865,42
2,random,0.2,0.12367100268602371,1.3916950225830078,4324,42
2,random,0.3,0.07354331016540527,1.4741039276123047,3784,42
2,random,0.4,0.14707857370376587,1.356031060218811,3243,42
2,random,0.5,0.18850570917129517,1.2785879373550415,2703,42
2,random,0.0,0.14673125743865967,1.3849434852600098,5405,43
2,random,0.1,0.15435844659805298,1.3772767782211304,4865,43
2,random,0.2,0.1867014318704605,1.333148717880249,4324,43
2,random,0.3,0.17598092555999756,1.3124949932098389,3784,43
2,random,0.4,0.15878860652446747,1.37129807472229,3243,43
2,random,0.5,0.1534038782119751,1.331577181816101,2703,43
2,random,0.0,0.1883435994386673,1.3284525871276855,5405,44
2,random,0.1,0.1902628391981125,1.2967569828033447,4865,44
2,random,0.2,0.19498935341835022,1.2969332933425903,4324,44
2,random,0.3,0.18401452898979187,1.2786617279052734,3784,44
2,random,0.4,0.17039594054222107,1.2924071550369263,3243,44
2,random,0.5,0.17292602360248566,1.3139312267303467,2703,44
